Month,ID,Name,Age,AnnualIncome,MonthlyInhandSalary,NumBankAccounts,NumCreditCard,InterestRate,NumofLoan,TypeofLoan,Delayfromduedate,NumofDelayedPayment,ChangedCreditLimit,NumCreditInquiries,CreditMix,OutstandingDebt,CreditUtilizationRatio,CreditHistoryAge,PaymentofMinAmount,TotalEMIpermonth,Amountinvestedmonthly,PaymentBehaviour,MonthlyBalance,CreditScore,,,,,,,,,,,,
July,7,Nadiaq,34_,10909427,,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,2_,9.34,4,Good,352.16,26.94756515,31 Years and 1 Months,No,911.2201793,930.3918978,!@9#%8,326.2418302,Good,,,,,,,,,,,,
August,7,Nadiaq,34,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,2,9.34,4,Good,352.16,29.18791265,31 Years and 2 Months,No,911.2201793,870.5223817,Low_spent_Medium_value_payments,396.1113462,Good,,,,,,,,,,,,
January,8,Annk,34,34081.38,10469.20776,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,11,17.13,5,Standard,1704.18,24.44806275,NA,NM,70.47833267,162.4410092,LowspentLargevaluepayments,298.1921581,Poor,,,,,,,,,,,,
February,8,Annk,30,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,14,17.13,5,,1704.18,35.17116002,14 Years and 8 Months,Yes,70.47833267,38.43698276,HighspentLargevaluepayments,392.1961846,Poor,,,,,,,,,,,,
March,8,Annk,30,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",31,14,17.13,5,Standard,1704.18,35.11155247,14 Years and 9 Months,Yes,70.47833267,199.7207655,LowspentLargevaluepayments,260.9124018,Poor,,,,,,,,,,,,
April,8,Annk,30,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",34,14,21.13,5,,1704.18,29.76215931,14 Years and 10 Months,Yes,70.47833267,220.5521919,LowspentSmallvaluepayments,260.0809754,Poor,,,,,,,,,,,,
May,8,Annk,30,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",27,14,17.13,5,,1704.18,30.20621422,14 Years and 11 Months,Yes,70.47833267,,HighspentLargevaluepayments,397.2283547,Standard,,,,,,,,,,,,
June,8,Annk,30,34081.38,2611.115,8,7,15,-100,"Not Specified, Auto Loan, and Student Loan",30,14,18.13,5,Standard,1704.18,31.17087232,15 Years and 0 Months,Yes,70.47833267,,!@9#%8,410.6743661,Standard,,,,,,,,,,,,
July,8,Annk,30,34081.38,,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,11,17.13,5,Standard,1704.18,38.43850508,15 Years and 1 Months,NM,70.47833267,55.45978064,High_spent_Small_value_payments,395.1733867,Standard,,,,,,,,,,,,
August,8,Annk,30,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,14,17.13,9,_,1704.18,33.82348834,15 Years and 2 Months,Yes,70.47833267,29.32636371,High_spent_Medium_value_payments,411.3068036,Poor,,,,,,,,,,,,
January,9,,23,114838.41,9843.8675,2,5,7,-100,"Personal Loan, Debt Consolidation Loan, and Auto Loan",13,11,8.24,3,Good,1377.74,33.66455429,21 Years and 4 Months,No,226.8927919,215.1935159,HighspentSmallvaluepayments,802.3004421,Good,,,,,,,,,,,,
February,9,Charlie Zhur,23,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",14,8,,3,Good,1377.74,27.62632549,21 Years and 5 Months,NM,226.8927919,212.2356022,HighspentLargevaluepayments,785.2583559,Good,,,,,,,,,,,,
March,9,Charlie Zhur,23,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,,3,Good,1377.74,35.1415673,21 Years and 6 Months,NM,226.8927919,470.3857957,HighspentSmallvaluepayments,547.1081624,Good,,,,,,,,,,,,
April,9,Charlie Zhur,23,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,14,8.24,8,Good,1377.74,30.45903184,21 Years and 7 Months,No,226.8927919,225.0820495,!@9#%8,772.4119086,Good,,,,,,,,,,,,
May,9,Charlie Zhur,23,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,11.24,8,Good,1377.74,29.81918663,21 Years and 8 Months,No,226.8927919,649.8093642,HighspentSmallvaluepayments,367.6845939,Standard,,,,,,,,,,,,
June,9,Charlie Zhur,24,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",13,14,8.24,8,,1377.74,26.11421387,21 Years and 9 Months,NM,226.8927919,546.3805705,!@9#%8,491.1133876,Good,,,,,,,,,,,,
July,9,Charlie Zhur,24,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,,8.24,8,Good,1377.74,31.76751565,21 Years and 10 Months,No,226.8927919,215.4682977,High_spent_Medium_value_payments,792.0256603,Good,,,,,,,,,,,,
August,9,Charlie Zhur,24_,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,8.24,8,Good,1377.74,27.81335364,21 Years and 11 Months,No,226.8927919,254.5717672,High_spent_Large_value_payments,742.9221908,Standard,,,,,,,,,,,,
January,10,Jamesj,44,31370.8,2825.233333,0,5,12,2,"Not Specified, and Payday Loan",4,0,5.76,2,Good,421.43,29.51935256,NA,NM,46.61612907,154.3527811,HighspentSmallvaluepayments,341.5544232,Good,,,,,,,,,,,,
February,10,Jamesj,44,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",2,0,-1.24,2,Good,421.43,28.22048096,26 Years and 6 Months,No,46.61612907,298.7444693,LowspentSmallvaluepayments,227.1627349,Good,,,,,,,,,,,,
March,10,Jamesj,44,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",-2,0,1.76,5,Good,421.43,31.04641791,26 Years and 7 Months,No,46.61612907,140.820696,LowspentMediumvaluepayments,375.0865083,Good,,,,,,,,,,,,
April,10,Jamesj,44,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",1,0,5.76,5,,421.43,30.1680304,26 Years and 8 Months,No,46.61612907,233.6055264,LowspentSmallvaluepayments,292.3016778,Good,,,,,,,,,,,,
May,10,Jamesj,44,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",1,0,5.76,5,,421.43,25.18923173,26 Years and 9 Months,No,16415,184.7005716,LowspentSmallvaluepayments,341.2066326,Good,,,,,,,,,,,,
June,10,Jamesj,44,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",1,0,5.76,5,Good,421.43,25.50246855,NA,No,46.61612907,137.7174249,LowspentMediumvaluepayments,378.1897794,Good,,,,,,,,,,,,
July,10,Jamesj,45,31370.8,2825.233333,1,6,12,-100,"Not Specified, and Payday Loan",-1,2,5.76,5,Good,421.43,22.76220217,26 Years and 11 Months,No,46.61612907,188.3949005,Low_spent_Small_value_payments,337.5123038,Good,,,,,,,,,,,,
August,10,Jamesj,45,31370.8,,1,6,12,2,"Not Specified, and Payday Loan",-2,2,5.76,5,_,421.43,37.56505277,27 Years and 0 Months,No,46.61612907,252.6448272,Low_spent_Small_value_payments,273.2623771,Good,,,,,,,,,,,,
January,11,,40,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,4,Standard,1328.93,37.08907565,19 Years and 2 Months,NM,65.00817429,117.3066971,HighspentMediumvaluepayments,362.5457119,Standard,,,,,,,,,,,,
February,11,Saphirj,40,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,4,Standard,1328.93,30.90808063,19 Years and 3 Months,Yes,65.00817429,70.13107792,HighspentLargevaluepayments,399.7213311,Standard,,,,,,,,,,,,
March,11,Saphirj,40,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,8,Standard,1328.93,38.03072168,19 Years and 4 Months,Yes,65.00817429,270.1825822,LowspentLargevaluepayments,229.6698268,Standard,,,,,,,,,,,,
April,11,Saphirj,40,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",17,22,11,8,Standard,1328.93,23.40441278,19 Years and 5 Months,Yes,65.00817429,25.19256191,HighspentLargevaluepayments,444.6598471,Standard,,,,,,,,,,,,
May,11,Saphirj,40,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,8,8,Standard,1328.93,29.07375818,19 Years and 6 Months,Yes,65.00817429,243.3296848,LowspentSmallvaluepayments,276.5227243,Standard,,,,,,,,,,,,
June,11,Saphirj,40,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,8,Standard,1328.93,32.78263673,19 Years and 7 Months,Yes,65.00817429,72.86008181,HighspentMediumvaluepayments,406.9923272,Standard,,,,,,,,,,,,
July,11,Saphirj,40,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,8,Standard,1328.93,35.58400505,19 Years and 8 Months,Yes,65.00817429,35.42716954,!@9#%8,444.4252395,Standard,,,,,,,,,,,,
August,11,Saphirj,41,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,17,11,8,Standard,1328.93_,31.13948358,NA,Yes,65.00817429,25.96961191,High_spent_Large_value_payments,443.8827971,Standard,,,,,,,,,,,,
January,12,Soyoungd,32,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",-1,0,3.51,3,Good,950.36,28.21061721,25 Years and 5 Months,No,135.173371,98.93176402,HighspentLargevaluepayments,732.5635317,Standard,,,,,,,,,,,,
February,12,Soyoungd,33,88640.24,7266.686667,3,6,433,2,"Payday Loan, and Payday Loan",4,2,3.51,3,Good,950.36,41.03616828,25 Years and 6 Months,NM,135.173371,157.1747883,HighspentLargevaluepayments,674.3205074,Good,,,,,,,,,,,,
March,12,Soyoungd,33,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",4,0,3.51,3,Good,950.36,34.67019438,25 Years and 7 Months,No,135.173371,298.1889115,HighspentMediumvaluepayments,543.3063842,Standard,,,,,,,,,,,,
April,12,Soyoungd,33,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",4,2,3.51,3,Good,950.36,31.82853557,25 Years and 8 Months,No,135.173371,,LowspentSmallvaluepayments,86.63611983,Standard,,,,,,,,,,,,
May,12,Soyoungd,33,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",4,2,3.51,3,Good,950.36,34.70283693,25 Years and 9 Months,No,135.173371,279.6186221,HighspentMediumvaluepayments,561.8766736,Good,,,,,,,,,,,,
June,12,Soyoungd,33,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",4,0,3.51,3,Good,950.36,38.32363895,25 Years and 10 Months,No,135.173371,686.1262166,LowspentSmallvaluepayments,195.3690791,Good,,,,,,,,,,,,
July,12,Soyoungd,33,88640.24_,,3,6,1,2_,"Payday Loan, and Payday Loan",4,2,3.51,3,_,950.36,25.9791728,25 Years and 11 Months,No,80357,164.0748219,High_spent_Large_value_payments,667.4204738,Good,,,,,,,,,,,,
August,12,Soyoungd,33,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",-1,,3.51,3,Good,950.36,30.87079911,26 Years and 0 Months,No,135.173371,98.44195128,High_spent_Large_value_payments,733.0533444,Good,,,,,,,,,,,,
January,13,Harriet McLeodd,35,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,5.54,3,Standard,179.22,25.64924607,26 Years and 10 Months,Yes,124.3920824,243.7354374,LowspentLargevaluepayments,378.5404802,Standard,,,,,,,,,,,,
February,13,Harriet McLeodd,35,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,10,4.54,3,Standard,179.22,29.40877528,26 Years and 11 Months,Yes,124.3920824,142.7518641,HighspentMediumvaluepayments,459.5240535,Standard,,,,,,,,,,,,
March,13,Harriet McLeodd,35,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",15,11,5.54,3,,179.22,31.25892847,27 Years and 0 Months,NM,124.3920824,33.34956859,HighspentLargevaluepayments,558.926349,Standard,,,,,,,,,,,,
April,13,Harriet McLeodd,35,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,7,0.54,3,Standard,179.22,27.19258741,27 Years and 1 Months,Yes,124.3920824,494.8422277,LowspentSmallvaluepayments,147.4336899,Standard,,,,,,,,,,,,
May,13,Harriet McLeodd,35,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,11.54,3,Standard,179.22,34.59532446,27 Years and 2 Months,Yes,124.3920824,233.1184454,LowspentSmallvaluepayments,409.1574722,Standard,,,,,,,,,,,,
June,13,Harriet McLeodd,35,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,5.54,3,,179.22,23.1950254,27 Years and 3 Months,Yes,124.3920824,635.1465605,LowspentSmallvaluepayments,7.129357074,Standard,,,,,,,,,,,,
July,13,Harriet McLeodd,36,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,5.54,7,Standard,179.22,35.11253199,27 Years and 4 Months,Yes,124.3920824,158.1124035,Low_spent_Large_value_payments,464.1635141,Standard,,,,,,,,,,,,
August,13,Harriet McLeodd,36,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,5.54,7,Standard,179.22,32.87880507,27 Years and 5 Months,Yes,124.3920824,495.1178979,Low_spent_Small_value_payments,147.1580197,Standard,,,,,,,,,,,,
